,School Resource Package Allocations,,,,,,,,,Student Enrolments – First term census ,,,,Student Attendance,
,2014 Students 1st Term FTE,2015 Students 1st Term FTE,2014 Final FFM $,2015 Final FFM $,2014 Final SRP $,2015 Final SRP $,2013 OENI,2014 OENI,ARIA+,2014 Headcount,2014 FTE,2015 Headcount,2015 FTE,2013 (%),2014 (%)
Forth Primary School,182.2,181.6,196032,206269,305752,280130,0.3287,0.3543,2.6,191,182.2,190,181.6,93,94
Franklin Primary School,99.8,98.2,150036,154604,275869,302142,0.5833,0.5643,2.86,107,99.8,105,98.2,86,91
Geeveston Primary School,67.6,66.4,141570,148648,436252,341569,0.7794,0.8085,3.54,74,67.6,68,66.4,88,90
Glen Dhu Primary School,287.4,335.8,311146,366475,557067,581705,0.463,0.4559,1.83,307,287.4,351,335.8,92,92
Glen Huon Primary School,127.4,128,158857,170148,272327,280705,0.4563,0.489,2.93,135,127.4,134,128,91,91
Glenora District School,192.2,186.8,309309,317552,742580,712881,0.6953,0.6595,2.83,197,192.2,192,186.8,86,86
Glenorchy Primary School,390.4,398.4,597981,632843,1228680,1373848,0.7588,0.753,1.83,410,390.4,414,398.4,91,90
Goodwood Primary School,111,115.6,175716,188440,495282,542710,0.7134,0.6818,1.83,119,111,122,115.6,90,86
Goulburn Street Primary School,207.2,224.4,199892,226845,298891,332622,0.2255,0.2336,1.83,220,207.2,238,224.4,93,93
Hagley Farm Primary School,393.2,381.6,405746,428757,671333,723782,0.4138,0.413,2.45,406,393.2,402,381.6,93,94
Havenview Primary School,131.8,127.6,175185,170822,480081,297724,0.5784,0.5703,2.7,141,131.8,133,127.6,93,94
Hellyer College,894.1,870.7,946482,962411,1643802,1854071,0.5222,0.5,2.72,938,894.1,905,870.7,,
Hillcrest Primary School,211.2,207,290492,302704,756134,636924,0.6382,0.6429,2.37,222,211.2,219,207,91,92
Hobart College,919.2,1023,816214,947870,1925801,2106153,0.4235,0.4124,1.83,963,919.2,1046,1023,,
Howrah Primary School,538.2,538.6,540415,573088,906321,928235,0.423,0.4136,1.83,565,538.2,569,538.6,93,93
