"Content","YesCount","NoCount","PercentYes","PercentNo"
"My Teachers",18358,17065,0.518250853964938,0.481749146035062
"Other",12432,9130,0.576569891475744,0.423430108524256
"Motivated and Work Hard",11918,8715,0.577618378325983,0.422381621674017
"Size of Classes",3969,2154,0.648211660950514,0.351788339049486
"Books and Resources",3790,2544,0.598358067571835,0.401641932428165
